"Fiscal Year","Fiscal Period","Activity Date","Chart","Document Code","Document Reference","Vendor Name","Encumbrance Number","Transaction Description","Transaction Date","Transaction Type","Grant Code","Fund Type","Fund Type Title","Fund Level 3","Fund Title 3","Fund Level 4","Fund Title 4","Fund Level 5","Fund Title 5","Fund Predecessor","Fund Predecessor Title","Fund","Fund Title","Level 3 Org","Level 3 Org Title","Index Code","Index Title","Organization","Organization Title","PE","PE Title","Account","Account Title","Program","Program Title","Activity","Activity Code Title","Location Code","Location Title","Dr Cr","Original Budget","Adjusted Budget","YTD","Encumbrance","Vendor Invoice","PI ID","PI Name","Index Code Filtered","Index Title Filtered","Check Number","Document Sequence","Document Text"
"=""23""","=""01""","7/13/2022 9:45:18 PM","=""V""",I2243936,,"VanLeuven, James T.",,"VanLeuven, James T..",7/13/2022,INNI,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""3979""","Research Centers and Institutes",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven","=""772""",IMCI,"=""30""","Other Expense","=""E5724""","Research Supplies",02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,0,145,0,"=""010027244893""",V00009752,"Wichman, Holly",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven",!0474853,1,"=""Chrome River Document 010027244893 \ Expense Owner: V00982360"""
"=""23""","=""01""","7/13/2022 9:45:19 PM","=""V""",I2243936,,"VanLeuven, James T.",,"VanLeuven, James T..",7/13/2022,GRRV,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""3979""","Research Centers and Institutes",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven","=""772""",IMCI,"=""RV""",Revenue,"=""R3711""","Grants & Contracts - Federal",02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,0,213.88,0,"=""010027244893""",V00009752,"Wichman, Holly",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven",!0474853,1,"=""Chrome River Document 010027244893 \ Expense Owner: V00982360"""
"=""23""","=""01""","7/13/2022 9:45:19 PM","=""V""",I2243936,,"VanLeuven, James T.",,"VanLeuven, James T..",7/13/2022,GRIC,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""3979""","Research Centers and Institutes",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven","=""772""",IMCI,"=""60""",Overhead,"=""E5982""","Facilities and Admin Expense",02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,0,68.88,0,"=""010027244893""",V00009752,"Wichman, Holly",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven",!0474853,1,"=""Chrome River Document 010027244893 \ Expense Owner: V00982360"""
"=""23""","=""01""","7/19/2022 9:40:47 PM","=""V""",I2244657,,"VanLeuven, James T.",,"VanLeuven, James T..",7/19/2022,INNI,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""3979""","Research Centers and Institutes",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven","=""772""",IMCI,"=""30""","Other Expense","=""E5724""","Research Supplies",02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,0,367.2,0,"=""010026481405""",V00009752,"Wichman, Holly",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven",!0475010,1,"=""Chrome River Document 010026481405 \ Expense Owner: V00982360"""
"=""23""","=""01""","7/19/2022 9:40:48 PM","=""V""",I2244657,,"VanLeuven, James T.",,"VanLeuven, James T..",7/19/2022,GRRV,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""3979""","Research Centers and Institutes",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven","=""772""",IMCI,"=""RV""",Revenue,"=""R3711""","Grants & Contracts - Federal",02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,0,541.62,0,"=""010026481405""",V00009752,"Wichman, Holly",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven",!0475010,1,"=""Chrome River Document 010026481405 \ Expense Owner: V00982360"""
"=""23""","=""01""","7/19/2022 9:40:48 PM","=""V""",I2244657,,"VanLeuven, James T.",,"VanLeuven, James T..",7/19/2022,GRIC,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""225606""","DHHS NIH CMCI FY2022 YR2 VanLeuven","=""3979""","Research Centers and Institutes",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven","=""772""",IMCI,"=""60""",Overhead,"=""E5982""","Facilities and Admin Expense",02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,0,174.42,0,"=""010026481405""",V00009752,"Wichman, Holly",772900,"DHHS NIH CMCI FY2022 YR2 VanLeuven",!0475010,1,"=""Chrome River Document 010026481405 \ Expense Owner: V00982360"""
"=""23""","=""01""","8/2/2022 10:55:26 AM","=""V""",BDRVMAN7,,,,"BUDGET CARRY FORWARD",7/1/2022,J020,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""224782""","DHHS NIH CMCI 2020 Ridenh Startup","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""224782""","DHHS NIH CMCI 2020 Ridenh Startup","=""3979""","Research Centers and Institutes",772914,"DHHS NIH CMCI 2020 Ridenh Startup","=""772""",IMCI,"=""10""",Salaries,"=""10""",Salaries,02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,728.59,0,0,,V00009752,"Wichman, Holly",772914,"DHHS NIH CMCI 2020 Ridenh Startup",,490,"="""""
"=""23""","=""01""","8/2/2022 10:55:15 AM","=""V""",BDRVMAN7,,,,"BUDGET CARRY FORWARD",7/1/2022,J020,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""224783""","DHHS NIH CMCI 2020 Patel Pilot","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""224783""","DHHS NIH CMCI 2020 Patel Pilot","=""3979""","Research Centers and Institutes",772913,"DHHS NIH CMCI 2020 Patel Pilot","=""772""",IMCI,"=""12""","Temporary Help","=""12""","Temporary Help",02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,654,0,0,,V00009752,"Wichman, Holly",772913,"DHHS NIH CMCI 2020 Patel Pilot",,427,"="""""
"=""23""","=""01""","8/2/2022 10:54:46 AM","=""V""",BDRVMAN7,,,,"BUDGET CARRY FORWARD",7/1/2022,J020,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""225241""","DHHS NIH CMCI 2020-Pilot Coats","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""225241""","DHHS NIH CMCI 2020-Pilot Coats","=""3979""","Research Centers and Institutes",772907,"DHHS NIH CMCI 2020-Pilot Coats","=""772""",IMCI,"=""10""",Salaries,"=""10""",Salaries,02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,498.26,0,0,,V00009752,"Wichman, Holly",772907,"DHHS NIH CMCI 2020-Pilot Coats",,250,"="""""
"=""23""","=""01""","8/2/2022 10:54:21 AM","=""V""",BDRVMAN7,,,,"BUDGET CARRY FORWARD",7/1/2022,J020,SH4697,"=""22""","Sponsored Programs","=""ZZ4697""","Master Fund - SH4697","=""225241""","DHHS NIH CMCI 2020-Pilot Coats","=""""",,"=""ZZ4697""","Master Fund - SH4697","=""225241""","DHHS NIH CMCI 2020-Pilot Coats","=""3979""","Research Centers and Institutes",772907,"DHHS NIH CMCI 2020-Pilot Coats","=""772""",IMCI,"=""20""",Travel,"=""20""",Travel,02ORO,"Organized Research on Campus","=""""","=""""",,,+,0,368.33,0,0,,V00009752,"Wichman, Holly",772907,"DHHS NIH CMCI 2020-Pilot Coats",,103,"="""""
